"","folder","model","prop","propsym","depth","valtype","data","n","n_t","n_l","nt_l","n_n","nt_n","n_g","min","max","mean","median","cvRPIave","cvRPImed","cvRPIall","PICP","Rsq","RMSE","MAE","MedAE","Bias","Rsq_l","RMSE_l","MAE_l","MedAE_l","Bias_l","Rsq_n","RMSE_n","MAE_n","MedAE_n","Bias_n","Rsq_g","RMSE_g","MAE_g","MedAE_g","Bias_g","sRsq","sRMSE","sMAE","sMedAE","sBias","sRsq_l","sRMSE_l","sMAE_l","sMedAE_l","sBias_l","sRsq_n","sRMSE_n","sMAE_n","sMedAE_n","sBias_n","sRsq_g","sRMSE_g","sMAE_g","sMedAE_g","sBias_g","bestval","gRPIave","gRPImed","gRPIall"
"1","BD_gRPI_250k","BD_0_cm","BD_250k","dbovendry","0","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",469441,366620,8362,2528,231255,134268,229824,0.01,2.51,1.43969401560089,1.5,0.342727575893469,0.251950354609929,0.297338965251699,0.971455457967378,0.693141187328978,0.155571913150478,0.0894547158311937,0.049734151233892,0.000566226090710135,0.357633106139321,0.200653049535376,0.144032985066344,0.107674356062377,-0.0128129511588282,0.739145300188815,0.14291156381532,0.0761245843085658,0.0364892732043974,-0.000767792395497437,0.668682988173476,0.161968178785878,0.0966421124244727,0.0568787606184969,0.00150733808540815,0.592735903219534,0.17923849913365,0.110641201182671,0.0683163818688231,0.00163175058705765,0.240887092172776,0.217759939277688,0.159778443138187,0.122658782712815,-0.0108250059655544,0.566208387926627,0.184294763927821,0.113990916112317,0.0721409931371364,0.00114192432706439,0.60998834819367,0.175739445937673,0.108143731502232,0.06568999061392,0.00206090347905667,"s50cv10f",0.503024768495988,0.357570422535211,0.4302975955156
"2","BD_gRPI_250k","BD_5_cm","BD_250k","dbovendry","5","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",486206,379479,9353,2912,239478,139192,237375,0.01,2.51,1.4592049362389,1.5,0.448490316387306,0.365104166666667,0.406797241526986,0.970198614416081,0.662632880980136,0.130220448004992,0.079402841437041,0.0481354333430537,0.000395521566559187,0.418825396250791,0.201461364747697,0.145759138740568,0.111660180863321,-0.0197956886359761,0.651632958401942,0.129785370018122,0.0721473550117582,0.036488174608222,0.000368180564988527,0.67106130743522,0.129359287245104,0.0828432885302905,0.0541896458789328,0.000654999706152313,0.611132505552808,0.139817320659976,0.0898090066143329,0.059365329818351,0.0012441011266475,0.354246592156607,0.211882633503855,0.157605184629471,0.124078332638972,-0.0183156121634825,0.53985120382118,0.149204025001283,0.0949464984641839,0.0630215966083001,0.00245274842121984,0.653113314100608,0.132842515116628,0.0859647928768099,0.0568617710859098,0.000757585828624896,"s10cv10f",0.703375375395762,0.55870786516854,0.631041620282151
"3","BD_gRPI_250k","BD_15_cm","BD_250k","dbovendry","15","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",487809,380437,10123,3331,239829,139249,237857,0.02,2.53,1.5023835746736,1.53,0.482805007066135,0.421629213483146,0.45221711027464,0.968670239750603,0.615540703360362,0.12485272623004,0.0792529728792282,0.0506925610621654,9.39298249237227e-05,0.426140079008889,0.187863689741379,0.141186869201187,0.110537827094498,0.00104009984446914,0.62363733599745,0.122488117193557,0.0723199915675569,0.0399355654183626,-0.0005501081580416,0.612758559861884,0.12511856157051,0.0824444236501556,0.0561160138684904,0.000464002925689836,0.555353270161163,0.134278724444956,0.0897847569455066,0.0623070539152684,0.000998194365825643,0.352593541305622,0.19960242281211,0.152018292521866,0.122280179227808,0.00355521022426714,0.492238759875081,0.1422937786806,0.0957929993448367,0.067640612037007,0.00174813454558978,0.593641144091263,0.128170149875436,0.0853958104235662,0.0589606252440367,0.0005163009433422,"s10cv10f",0.734648975989766,0.613988095238095,0.674318535613931
"4","BD_gRPI_250k","BD_30_cm","BD_250k","dbovendry","30","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",476549,371438,10093,3405,232958,134535,233498,0.01,2.53,1.55850836478632,1.58,0.518206063511011,0.458823529411765,0.488514796461388,0.968904635497714,0.583607559045833,0.126997949289239,0.0815229563208395,0.0530824049656822,0.000159093254472375,0.41412466638418,0.183372102846536,0.135882179912118,0.103822538754658,-0.00574003857889897,0.606430406255275,0.12152363158485,0.072585569063145,0.0405528421731201,-0.0010363610118704,0.572315987223129,0.129062791321061,0.0858797312755956,0.0596665987036034,0.000944140797314536,0.520606794125809,0.136270314100622,0.0919315628727865,0.064703905742993,0.000618265584770532,0.370238341797768,0.190065223250819,0.142851686204606,0.111673278185566,-0.00522114408788558,0.466861988327287,0.141427686839178,0.0959345484314918,0.0677546877761463,0.000374878242057366,0.550960610703897,0.132243751656742,0.0888826087828788,0.0625834105227748,0.000845271809090768,"s10cv10f",0.803351086039157,0.667307692307692,0.735329389173424
"5","BD_gRPI_250k","BD_60_cm","BD_250k","dbovendry","60","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",447160,347238,9534,3221,218898,125289,218728,0.01,2.53,1.6023383385459,1.61,0.643946117490386,0.565217391304348,0.604581754397367,0.969260276813022,0.51523562771337,0.130256512491875,0.0821190918511055,0.0522439182616135,0.000117864526325517,0.336320779745812,0.18291731980017,0.135360232269543,0.103069375013072,0.00371922437661995,0.555270632344975,0.123565245760038,0.0727803378609107,0.0403682957403126,-0.00205898163009077,0.493727839610367,0.133029120453044,0.0866843666919568,0.0588534952457165,0.00133072658796078,0.440049059067092,0.139998133192654,0.0926735016780736,0.0637605343075468,0.000691757134140994,0.278591926328486,0.190681436414667,0.142827091503318,0.111993182574179,0.0033593584159673,0.390902828457291,0.144556659742977,0.0963099343684747,0.0660272434748976,-0.000397347743481343,0.467596063666694,0.136417199417679,0.089851962011571,0.0620308766097074,0.00128571208724394,"s10cv10f",0.923387060200836,0.765671756070409,0.844529408135623
"6","BD_gRPI_250k","BD_100_cm","BD_250k","dbovendry","100","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",406338,314710,8177,2732,200684,114501,197477,0.02,2.53,1.63154278541991,1.63,0.655393984695253,0.590909090909091,0.623151537802172,0.970928791585905,0.538653451651304,0.124599652100667,0.0797220178948982,0.0521942684374634,6.97666008491271e-05,0.384288789394513,0.176620543145254,0.130989642185313,0.0982703192730023,0.00520608893486622,0.611598398968744,0.11640096330526,0.0700450828394862,0.0402814557312885,-0.00185060544889531,0.493869919121615,0.128272946236623,0.0846236296837056,0.0584730842301688,0.00112753018809625,0.457219106485335,0.135155771821371,0.0906086667442714,0.0639363563481611,0.000781171154965818,0.315486311599327,0.186379019500674,0.140609582981767,0.111218889645615,0.00713699173721569,0.44512222733537,0.139080437388172,0.0942063068766762,0.0669532926044518,7.5810517341076e-05,0.464292431052688,0.131966571941259,0.0878309463213293,0.0617414974790393,0.00110691543550957,"s10cv10f",0.856511305662541,0.736785714285714,0.796648509974127
"7","BD_gRPI_250k","BD_150_cm","BD_250k","dbovendry","150","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",383575,296754,6300,2064,191080,108495,186195,0.02,2.55,1.63748997485695,1.63,0.634118017696136,0.575000000000001,0.604559008848068,0.972313768306409,0.541592884083253,0.122523022693375,0.0785457947530742,0.0516469055556565,3.82038035569332e-05,0.418070085643742,0.169584325254522,0.127903738018823,0.100378221511261,0.00575242885416669,0.623469012665046,0.113501254289611,0.0685268727760101,0.0397109506792319,-0.00153500847013515,0.48910640418828,0.12688684142533,0.0838366357799603,0.0582967408555193,0.000903430760475997,0.45641575786917,0.133425173492621,0.0900043490642536,0.0641187272389985,0.000615137126815936,0.357863949630428,0.178386087870648,0.138393343952584,0.114329819171988,0.00825129699783032,0.452008861421325,0.136892365003111,0.0936818867599661,0.0677393388570355,0.000137530504397081,0.457341796726089,0.130769811039553,0.0873250647776409,0.0617947766160423,0.000810984232492673,"s10cv10f",0.812474575829497,0.709722320794767,0.761098448312132
"8","CACO3_gRPI_250k","CACO3_0_cm","CACO3_250k","caco3","0","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",501176,386347,38419,15342,228092,136340,234665,0,95,2.17613958436328,0,0.372127542094131,0.1,0.236063771047065,0.991631874972499,0.718177192695335,4.25587050663065,1.30360657702707,0.0459271306542193,0.216684144769571,0.503347131303646,4.20532360655525,0.865216314300637,0.0455905067540212,0.285434885130115,0.737884483471948,3.94636014526186,1.10338131598722,0.045745667877327,0.169402214257137,0.711876821609695,4.42892330846377,1.44859835467146,0.0680095512214238,0.237308498379315,0.649369827118534,4.72740084738974,1.49076379267392,0.068065754190225,0.279708954120059,0.439802375797181,4.24014369244976,0.936573395154069,0.0451168661000573,0.40254988082758,0.572690565714211,5.00557228418647,1.51968365334843,0.0724070815324341,0.316012164337399,0.691338528123282,4.58922364878555,1.51019342757639,0.0826787598159087,0.259188540410032,"s10cv10f",0.601377545754504,0.314642675787935,0.45801011077122
"9","CACO3_gRPI_250k","CACO3_5_cm","CACO3_250k","caco3","5","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",503247,387952,40543,16682,227569,136135,235135,0,95,2.2652750855776,0,0.350890719185281,0.0909090909090909,0.220899905047186,0.991210252814781,0.720992930997973,4.35170367137623,1.35303296545589,0.0465350518276135,0.218530881623156,0.516175225690094,4.06881230676659,0.821254852222609,0.0463337512643147,0.273336469310149,0.736278899565574,4.07237581230732,1.16098118702661,0.0464900163705303,0.175617605263279,0.716187928746371,4.52423225392604,1.50195206019477,0.0728539388750151,0.237487968883478,0.653511961867295,4.80862144047037,1.5409113753712,0.070405885236157,0.278919675146491,0.437609069202222,4.24816171585297,0.90743065668307,0.0458188621416622,0.408139818341067,0.575442912701703,5.11270903649357,1.58496326535674,0.0778218368597383,0.321001477821609,0.695810154470181,4.66221518832685,1.56035008634989,0.0873082839968486,0.255488229369899,"s10cv10f",0.60316737993624,0.325416897681972,0.464292138809106
"10","CACO3_gRPI_250k","CACO3_15_cm","CACO3_250k","caco3","15","cv10f","geo_gps_gps2_gps3_srce_scd_direct_home",502013,386833,40971,16863,226125,135053,234917,0,95,2.8713475840996,0,0.374605900048382,0.115384615384615,0.244995257716499,0.990515286958455,0.730529842101857,5.03626353619274,1.68387242983118,0.0525155343284708,0.230292797349681,0.514162946649543,4.35249829203611,0.944807266398519,0.0522428618025375,0.276312479556935,0.738166233799719,4.95530633453597,1.48784155684912,0.0524632611775077,0.199156223401072,0.728845794795829,5.12735828587857,1.84962209179608,0.116257120702483,0.244005129471847,0.664541449961197,5.59295756900837,1.91982355738058,0.105228696618944,0.289559511094233,0.436394146699184,4.64374558498381,1.05178945036196,0.0516595674931659,0.390855855018718,0.578558651107366,6.15695403164418,2.01290321939975,0.106012189349475,0.339733466562573,0.710040857095929,5.30743685098306,1.92862228864302,0.133697601386431,0.263110404538828,"s10cv10f",0.600932813961448,0.34826634394017,0.474599578950809
